url,main_category,main_category_confidence,tld
http://000webhost.com,Internet_and_Telecom,0.5581,com
http://022menchuang.net,Career_and_Education,1.0,net
http://0calc.com,Science,0.5606,com
http://1-x-bet.com,Gambling,0.7741,com
http://10086.cn,Internet_and_Telecom,0.559,cn
http://100diet.net,Health,0.5991,net
http://104.com,Internet_and_Telecom,0.5593,com
http://1091.co.jp,Sports,0.5912,jp
http://10bet.com,Gambling,0.7795,com
http://10betlive.com,Gambling,0.5733,com
http://1100ad.com,Books_and_Literature,1.0,com
http://111.com.cn,Health,0.6235,cn
http://1111.com.tw,Career_and_Education,0.7671,tw
http://111cn.net,Computer_and_Electronics,0.813,net
http://121ware.com,Computer_and_Electronics,0.792,com
http://123project.ir,Computer_and_Electronics,0.5875,ir
http://123vidz.com,Arts_and_Entertainment,0.8029,com
http://1337x.to,Internet_and_Telecom,0.6067,to
http://13980.com,Beauty_and_Fitness,1.0,com
http://140online.com,Internet_and_Telecom,0.56,com
http://155chan.info,Adult,0.5728,info
http://1688.com,Shopping,0.7774,com
http://177tvb.com,Books_and_Literature,0.6009,com
http://178.com,Games,0.7729,com
http://1800contacts.com,Health,0.598,com
http://188bet.com,Gambling,0.7719,com
http://189.cn,Internet_and_Telecom,1.0,cn
http://18pornolar.com,Adult,0.5527,com
http://1hai.cn,Autos_and_Vehicles,1.0,cn
http://1kkk.com,Arts_and_Entertainment,0.7566,com
http://1st4immigration.com,Law_and_Government,0.7605,com
http://1stwebdesigner.com,Internet_and_Telecom,0.7855,com
http://1tu.com,Arts_and_Entertainment,0.6138,com
http://1x-bet.com,Gambling,0.5797,com
http://20000-names.com,Reference,0.5459,com
http://2016dvlottery.com,Law_and_Government,0.5792,com
http://20jack.net,Adult,0.7795,net
http://21grandcasinos.com,Gambling,0.5328,com
http://21novacasino.com,Gambling,1.0,com
http://21st.com,Finance,1.0,com
http://247sudoku.com,Games,1.0,com
http://24day0am.com,Shopping,0.7801,com
http://24hourcampfire.com,Recreation_and_Hobbies,0.5523,com
http://24om.com,Computer_and_Electronics,0.7716,com
http://24petwatch.com,Pets_and_Animals,0.7729,com
http://263.com,Internet_and_Telecom,0.5725,com
http://288-563.com,Gambling,0.5573,com
http://28car.com,Autos_and_Vehicles,1.0,com
http://2beeg.com,Adult,1.0,com
http://2cat.org,Pets_and_Animals,1.0,org
http://2paintminiatures.com,Recreation_and_Hobbies,0.8167,com
http://2raw4tv.com,Adult,0.8119,com
http://30dayfitnesschallenges.com,Beauty_and_Fitness,0.5599,com
http://360-bo.com,Gambling,0.578,com
http://360kad.com,Health,1.0,com
http://365chess.com,Games,1.0,com
http://365zhaosheng.com,Career_and_Education,0.5476,com
http://3663cateringequipment.com,Shopping,0.5862,com
http://39.net,Health,0.7962,net
http://39dollarglasses.com,Health,0.5684,com
http://3bees.com,Health,0.5643,com
http://3claws.com,Games,0.7884,com
http://3dmgame.com,Games,0.767,com
http://3houralcohol.com,Food_and_Drink,0.6152,com
http://3kzhushou.com,Computer_and_Electronics,0.6171,com
http://3milliondogs.com,Pets_and_Animals,1.0,com
http://3rdmilclassrooms.com,Career_and_Education,0.6017,com
http://3reef.com,Internet_and_Telecom,0.5935,com
http://4008-517-517.cn,Food_and_Drink,1.0,cn
http://4008823823.com.cn,Food_and_Drink,0.7558,cn
http://411-spyware.com,Computer_and_Electronics,0.812,com
http://4223.com,Games,1.0,com
http://4399.com,Games,0.5725,com
http://4443.com,News_and_Media,0.82,com
http://4noggins.com,Recreation_and_Hobbies,0.5928,com
http://500.com,Gambling,0.7983,com
http://50onred.com,Internet_and_Telecom,0.6192,com
http://52pojie.cn,Internet_and_Telecom,0.5998,cn
http://5starvidz.com,Arts_and_Entertainment,1.0,com
http://66test.com,Career_and_Education,0.7915,com
http://700bike.com,Games,1.0,com
http://720pizle.com,Arts_and_Entertainment,0.8007,com
http://777-slot.org,Gambling,0.5782,org
http://77jackpot.com,Gambling,0.5429,com
http://788-sb.com,Gambling,0.5848,com
http://7dayvegan.com,Business_and_Industry,1.0,com
http://7y7.com,People_and_Society,0.7565,com
http://831onair.com,Adult,0.7847,com
http://86game.com,Games,0.6434,com
http://877flynola.com,Career_and_Education,0.799,com
http://88box.com,Games,1.0,com
http://8reader.com,Books_and_Literature,0.5514,com
http://8theme.com,Internet_and_Telecom,0.6058,com
http://95095.com,Health,0.5627,com
http://95516.com,Business_and_Industry,0.5813,com
http://99.com,Games,0.549,com
http://99acres.com,Business_and_Industry,0.7998,com
http://99comic.com,Arts_and_Entertainment,0.5739,com
http://9nung.com,Arts_and_Entertainment,0.7905,com
http://a-levelchemistry.co.uk,Science,0.5596,uk
http://a-parents-decision.co.uk,Health,0.6008,uk
http://a1decor.blogspot.ae,Home_and_Garden,0.7981,ae
http://a2movements.com,Sports,0.5984,com
http://a2zwholesale.co.uk,Shopping,0.6051,uk
http://a9vg.com,Games,0.5497,com
http://aaascholarships.org,Career_and_Education,0.6004,org
http://aacrjournals.org,Health,1.0,org
http://aah.co.uk,Health,0.5807,uk
http://aanda.org,Science,0.5921,org
http://aao.org,Health,0.5887,org
http://aapd.org,Health,0.5978,org
http://aapm.org,Health,0.6178,org
http://aasarchitecture.com,Arts_and_Entertainment,0.5904,com
http://aasha-online.com,People_and_Society,0.8044,com
http://aastocks.com,Finance,0.6075,com
http://aauw.org,People_and_Society,0.598,org
http://ab.com,Business_and_Industry,1.0,com
http://abb.com,Business_and_Industry,0.8167,com
http://abetterfuel.com,Autos_and_Vehicles,0.5777,com
http://abhinav.com,Law_and_Government,0.7755,com
http://abort73.com,Books_and_Literature,0.5017,com
http://acc.org,Health,0.7668,org
http://acceptableanswers.com,Finance,0.56,com
http://acdlabs.com,Business_and_Industry,0.5921,com
http://acfun.tv,Arts_and_Entertainment,0.5992,tv
http://aciprensa.com,News_and_Media,0.7571,com
http://acmods.net,Autos_and_Vehicles,0.786,net
http://acog.org,Health,0.7604,org
http://acronymfinder.com,Reference,0.587,com
http://acrylicaquariums.com,Pets_and_Animals,0.779,com
http://actfashion.com,Beauty_and_Fitness,0.6002,com
http://activeeurope.com,Sports,0.8096,com
http://activegolf.com,Sports,1.0,com
http://actonsoftware.com,Computer_and_Electronics,0.8102,com
http://actorsaccess.com,Arts_and_Entertainment,0.8174,com
http://adamoads.com,Business_and_Industry,0.5944,com
http://adarshinternational.com,Science,0.5837,com
http://add-anime.net,Arts_and_Entertainment,1.0,net
http://addictionsandrecovery.org,Health,0.7665,org
http://addresses.com,Books_and_Literature,1.0,com
http://adesa.com,Autos_and_Vehicles,0.5742,com
http://adisney.com,Arts_and_Entertainment,0.791,com
http://admarketplace.com,Internet_and_Telecom,0.5628,com
http://adoptuskids.org,People_and_Society,0.7602,org
http://adoreasia.com,People_and_Society,0.7598,com
http://adornedmagazine.com,News_and_Media,0.5731,com
http://adsparkmedia.net,Internet_and_Telecom,0.5758,net
http://adstract.com,Health,1.0,com
http://adsupplymedia.com,Internet_and_Telecom,0.5719,com
http://advancedfertility.com,Health,0.5792,com
http://advancedpccare.com,Computer_and_Electronics,0.7666,com
http://advancedprostatecancer.net,Health,0.7657,net
http://advancedtautactica.com,Internet_and_Telecom,0.6129,com
http://adventurefeeds.com,Internet_and_Telecom,0.5539,com
http://advertiserad.com,Business_and_Industry,1.0,com
http://ae88.com,Gambling,0.5757,com
http://aerofarms.com,Business_and_Industry,0.5791,com
http://aeromobil.com,Autos_and_Vehicles,0.7825,com
http://aerospaceweb.org,Science,0.5905,org
http://affiliatetechnology.com,Internet_and_Telecom,0.5779,com
http://affordablecremationaz.com,People_and_Society,0.5708,com
http://aflamonlinee.org,Arts_and_Entertainment,1.0,org
http://afreecodec.com,Computer_and_Electronics,0.5714,com
http://aftabir.com,News_and_Media,0.5803,com
http://afternic.com,Internet_and_Telecom,0.7797,com
http://afterschoolafrica.com,Career_and_Education,0.5867,com
http://agcocorp.com,Business_and_Industry,0.574,com
http://aggaming.net,Gambling,0.5905,net
http://agitateur-floral.com,Shopping,0.7827,com
http://aglr.com,Business_and_Industry,0.5264,com
http://agmarknet.nic.in,Business_and_Industry,0.5965,in
http://agrarheute.com,Business_and_Industry,1.0,com
http://agri-convivial.com,Science,0.5704,com
http://agricolacastelao.com,Business_and_Industry,0.6028,com
http://agroparts.com,Business_and_Industry,0.7815,com
http://ahlalhdeeth.com,Internet_and_Telecom,0.6208,com
http://ahyc.cn,Business_and_Industry,0.5625,cn
http://aia-pt.com.hk,Finance,0.776,hk
http://aia.co.th,Business_and_Industry,0.6253,th
http://aiba.org,Sports,0.7672,org
http://aig.com,Finance,0.7573,com
http://aipmt.nic.in,Career_and_Education,0.8066,in
http://air-closet.com,Shopping,1.0,com
http://airbnb.jp,Travel,0.7906,jp
http://airbushelicopters.com,Business_and_Industry,0.6029,com
http://airforce.com,Law_and_Government,0.8047,com
http://airlink.in,Internet_and_Telecom,0.8194,in
http://airportrentalcars.com,Autos_and_Vehicles,0.7855,com
http://airsoftmegastore.com,Recreation_and_Hobbies,0.5756,com
http://aisf.or.jp,People_and_Society,0.5892,jp
http://aitc.sk.ca,Science,0.6283,ca
http://akbank.com,Finance,0.7628,com
http://akrapovic.com,Autos_and_Vehicles,0.5497,com
http://akzonobel.com,Business_and_Industry,0.6083,com
